MAT 140     ,Differential Calculus w/Review  ,FA  ,2012
MAT 170     ,Calculus-I  ,FA  ,2012
MAT 171     ,Calculus-II  ,FA  ,2012
MAT 230     ,Calculus-III  ,FA  ,2012
MAT 240     ,Linear Algebra  ,FA  ,2012
MAT 330     ,Abstract Algebra-I  ,FA  ,2012
MAT 340     ,Complex Variables  ,FA  ,2012
MAT 380     ,Introduction to Real Analysis  ,FA  ,2012
MAT 420     ,Putnam Seminar  ,FA  ,2012
MUS 110     ,Fundamentals of Music  ,FA  ,2012
MUS 120     ,Materials & Stucture of Music-I  ,FA  ,2012
MUS 121     ,Musicianship-I  ,FA  ,2012
MUS 140     ,First-Year Flute Lessons  ,FA  ,2012
MUS 143     ,First-Year Clarinet Lessons  ,FA  ,2012
MUS 144     ,First-Year Saxophone Lessons  ,FA  ,2012
MUS 148     ,First-Year Euphonium Lessons  ,FA  ,2012
MUS 150     ,First-Year Percussion Lessons  ,FA  ,2012
MUS 151     ,First-Year Violin Lessons  ,FA  ,2012
MUS 153     ,First-Year Violoncello Lessons  ,FA  ,2012
MUS 155     ,First-Year Harp Lessons  ,FA  ,2012
MUS 156     ,First-Year Guitar Lessons  ,FA  ,2012
MUS 157     ,First-Year Piano Lessons  ,FA  ,2012
MUS 158     ,First-Year Harpsichord Lessons  ,FA  ,2012
MUS 160     ,First-Year Voice Lessons  ,FA  ,2012
MUS 161     ,First-Year Composition Lessons  ,FA  ,2012
MUS 162     ,First-Year Bass Guitar Lessons  ,FA  ,2012
MUS 164     ,First-Year Fiddle Lessons  ,FA  ,2012
MUS 165     ,First-Year Digital Music Tech  ,FA  ,2012
MUS 167     ,First-Year Classical Gtr Lessons  ,FA  ,2012
MUS 180     ,Centre Men's Voices  ,FA  ,2012
MUS 181     ,Centre Women's Voices  ,FA  ,2012
MUS 184     ,Centre Singers  ,FA  ,2012
MUS 191     ,Centre Orchestra  ,FA  ,2012
MUS 192     ,CentreJazz  ,FA  ,2012
MUS 194     ,Centre Percussion  ,FA  ,2012
MUS 195     ,Centre College Chamber Ensemble  ,FA  ,2012
MUS 196     ,Kentucky Music Ensemble  ,FA  ,2012
MUS 230     ,"Music History, Form & Analysis-I  ",FA  ,2012
MUS 240     ,Second-Year Flute Lessons  ,FA  ,2012
MUS 241     ,Second-Year Oboe Lessons  ,FA  ,2012
MUS 244     ,Second-Year Saxophone Lessons  ,FA  ,2012
MUS 250     ,Second-Year Percussion Lessons  ,FA  ,2012
MUS 251     ,Second-Year Violin Lessons  ,FA  ,2012
MUS 255     ,Second-Year Harp Lessons  ,FA  ,2012
MUS 256     ,Second-Year Guitar Lessons  ,FA  ,2012
MUS 257     ,Second-Year Piano Lessons  ,FA  ,2012
MUS 260     ,Second-Year Voice Lessons  ,FA  ,2012
MUS 261     ,Second-Year Composition Lessons  ,FA  ,2012
MUS 262     ,Second-Year Bass Guitar Lessons  ,FA  ,2012
MUS 264     ,Second-Year Fiddle Lessons  ,FA  ,2012
MUS 265     ,Second-Year Digital Music Tech  ,FA  ,2012
MUS 266     ,Second-Year Banjo Lessons  ,FA  ,2012
MUS 336     ,Music of the 20th&21st Centuries  ,FA  ,2012
MUS 342     ,Third-Year Bassoon Lessons  ,FA  ,2012
MUS 345     ,Third-Year Trumpet Lessons  ,FA  ,2012
MUS 346     ,Third-Year French Horn Lessons  ,FA  ,2012
MUS 350     ,Third-Year Percussion Lessons  ,FA  ,2012
MUS 351     ,Third-Year Violin Lessons  ,FA  ,2012
MUS 357     ,Third-Year Piano Lessons  ,FA  ,2012
MUS 360     ,Third-Year Voice Lessons  ,FA  ,2012
MUS 366     ,Third-Year Banjo Lessons  ,FA  ,2012
MUS 400     ,Directed Study  ,FA  ,2012
MUS 442     ,Fourth-Year Bassoon Lessons  ,FA  ,2012
MUS 451     ,Fourth-Year Violin Lessons  ,FA  ,2012
MUS 452     ,Fourth-Year Viola Lessons  ,FA  ,2012
MUS 457     ,Fourth-Year Piano Lessons  ,FA  ,2012
MUS 500     ,Senior Recital  ,FA  ,2012
MUS 501     ,Senior Project  ,FA  ,2012
NSC 110     ,Natural Science-I  ,FA  ,2012
NSC 110L    ,NSC 110 Lab  ,FA  ,2012
NSC 120     ,Natural Science-II  ,FA  ,2012
NSC 120L    ,NSC 120 Lab  ,FA  ,2012
PHI 140     ,Intro to Ethical Thinking  ,FA  ,2012
PHI 210     ,Ancient Philosophy  ,FA  ,2012
PHI 315     ,Ethical Theory  ,FA  ,2012
PHI 370     ,20th-Century Analytic Philosophy  ,FA  ,2012
PHI 452     ,Environmental Ethics  ,FA  ,2012
PHY 110     ,Intro to Physics  ,FA  ,2012
PHY 110L    ,PHY 110 Lab  ,FA  ,2012
PHY 120     ,Intro/Physics for Life Sciences  ,FA  ,2012
PHY 120L    ,PHY 120 Lab  ,FA  ,2012
PHY 210     ,General Physics-I  ,FA  ,2012
PHY 210L    ,PHY 210 Lab  ,FA  ,2012
PHY 310     ,Modern Physics-I  ,FA  ,2012
PHY 340     ,Advanced Mechanics  ,FA  ,2012
PHY 380     ,Optics  ,FA  ,2012
PHY 402     ,Research Participation  ,FA  ,2012
PSY 110     ,Intro to Psychology  ,FA  ,2012
PSY 205     ,Introduction to Research Methods  ,FA  ,2012
PSY 305     ,The Psychology of Learning  ,FA  ,2012
PSY 350     ,Advanced Research Topics  ,FA  ,2012
PSY 351     ,Advanced Research Topics  ,FA  ,2012
PSY 370     ,Motivation and Emotion  ,FA  ,2012
PSY 380     ,Life-Span Developmental Psych  ,FA  ,2012
PSY 390     ,Psychology of Women  ,FA  ,2012
REL 110     ,Biblical History and Ideas  ,FA  ,2012
REL 120     ,History of Christian Thought  ,FA  ,2012
REL 130     ,Eastern Religious Traditions  ,FA  ,2012
REL 150     ,Western Religious Traditions  ,FA  ,2012
REL 160     ,Biblical Hebrew  ,FA  ,2012
REL 321     ,The Writings & Reception of Paul  ,FA  ,2012
REL 350     ,The Holocaust  ,FA  ,2012
REL 360     ,Advanced Topics in Hebrew  ,FA  ,2012
REL 380     ,Women and Gender in Islam  ,FA  ,2012
REL 453     ,World Hunger & the Environment  ,FA  ,2012
REL 499     ,Senior Seminar Research  ,FA  ,2012
SOC 110     ,Intro to Sociology  ,FA  ,2012
SOC 305     ,Research Methods  ,FA  ,2012
SOC 320     ,Race and Ethnicity  ,FA  ,2012
SOC 321     ,The Happy Society  ,FA  ,2012
SOC 500     ,Advanced Seminar  ,FA  ,2012
SPA 110     ,Fundamentals-I  ,FA  ,2012
SPA 121     ,Review of Fundamentals  ,FA  ,2012
SPA 210     ,Intermediate-I  ,FA  ,2012
SPA 220     ,Intermediate-II  ,FA  ,2012
SPA 230     ,Adv Spanish Grammar/Composition  ,FA  ,2012
SPA 240     ,Advanced Conversation  ,FA  ,2012
SPA 250     ,Intro to Literary Analysis  ,FA  ,2012
SPA 255     ,Hispanic Linguistics  ,FA  ,2012
SPA 260     ,Spanish Culture  ,FA  ,2012
SPA 271     ,Latin American Culture Abroad  ,FA  ,2012
SPA 350     ,Junior Seminar  ,FA  ,2012
SPA 360     ,20th-Century Latin American Lit  ,FA  ,2012
SPA 463     ,Violence in Latin American Lit.  ,FA  ,2012
AAS 210     ,Music & Culture/African Diaspora  ,WI  ,2013
ANT 315     ,Community-Based Anthropology  ,WI  ,2013
ANT 401     ,Independent Study  ,WI  ,2013
ANT 457     ,History/Anthro Bluegrass Music  ,WI  ,2013
